LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID993807,993807,0,4.004919528961182,1072.4415984169277,693.0551167750172,0.0,240.0,4,4.8,1,,156.23728813559322,156.0,87.0,226.0,27654.0,25.845260016708647,0.13110591250819462,1.401369906654439
ID1001615,1001615,0,3.713346242904663,1093.3513994045634,676.8476410915409,0.0,1320.0,22,4.8,1,,158.01129943502823,160.0,94.0,232.0,27968.0,22.854030055531734,0.13256704786900844,1.6185533147464073
ID994189,994189,0,4.169430255889893,1104.689938514945,683.9186054433908,0.0,420.0,7,4.8,1,,176.3728813559322,178.0,109.0,227.0,31218.0,23.120901335857013,0.1364462165897831,1.8317645755841385
ID996938,996938,0,4.213738918304443,1093.743013064871,686.1883399532106,0.0,360.0,6,4.8,1,,163.45762711864407,164.0,93.0,224.0,28932.0,25.905634281353937,0.14661757135349576,1.6136464396912924
ID1001225,1001225,0,2.4192609786987305,1100.8310044645425,674.2511729453411,0.0,1020.0,17,4.8,1,,138.89830508474577,137.0,99.0,191.0,24585.0,18.02589196688611,0.08896284858290629,1.2590001883253519
ID993026,993026,0,4.148533821105957,1084.4113017481818,696.3153644722954,0.0,300.0,5,4.8,1,,167.68926553672316,167.0,121.0,215.0,29681.0,22.124635282628205,0.14203126484214268,1.8852332857575451
ID1000833,1000833,0,3.2869529724121094,1095.9675244014645,675.6761018801097,0.0,1260.0,21,4.8,1,,153.42937853107344,155.0,101.0,223.0,27157.0,19.828722170302257,0.12141470135361809,1.6755169459338128
ID1000448,1000448,0,2.7794241905212402,1098.3827737689066,676.6741800039321,0.0,1200.0,20,4.8,1,,151.29378531073445,152.0,109.0,188.0,26779.0,16.529368347773428,0.10290008584552691,1.7079470138698505
ID1004703,1004703,0,3.275930166244507,1093.7582940392806,682.121616486769,0.0,1500.0,25,4.8,1,,159.07909604519773,157.0,104.0,223.0,28157.0,22.40394809151531,0.10348161015029078,1.331731370192806
ID998110,998110,0,3.8988635540008545,1112.8224735931183,681.4226134985217,0.0,480.0,8,4.8,1,,178.37853107344634,179.0,128.0,224.0,31573.0,21.399559046285265,0.11830774276948251,1.7636791916010934
ID1002910,1002910,0,2.245562791824341,1089.6580550192057,680.1858652794018,0.0,1560.0,26,4.8,1,,148.180790960452,148.0,93.0,202.0,26228.0,22.532074952022374,0.08007772787522364,0.9751635246156729
ID996118,996118,0,4.063625812530518,1101.544330054658,660.2107714709161,0.0,660.0,11,4.8,1,,169.52542372881356,168.0,108.0,233.0,30006.0,25.395746735116994,0.126770201010031,1.502054438369253
ID1003795,1003795,0,2.901165246963501,1095.5802545266226,691.7051654404091,0.0,1740.0,29,4.8,1,,176.3954802259887,177.0,129.0,215.0,31222.0,20.224073805090676,0.07757582541134102,1.2558199344788064
ID1004179,1004179,0,2.2853171825408936,1094.8713363989136,687.9865978259684,0.0,1860.0,31,4.8,1,,155.56497175141243,155.0,101.0,209.0,27535.0,20.635018616978783,0.07781677027919659,1.0885921799497487
ID997714,997714,0,2.150797128677368,1104.4434544946391,678.1960528608495,0.0,540.0,9,4.8,1,,142.70621468926555,145.0,91.0,187.0,25259.0,17.644005414510705,0.07984759267319061,1.1961208547384115
ID995345,995345,0,3.989948272705078,1104.962286297058,682.51403655615,0.0,780.0,13,4.8,1,,173.954802259887,176.0,89.0,231.0,30790.0,25.515106757174163,0.12493106760189344,1.514305740437222
ID1005483,1005483,0,2.304513454437256,1097.2143545340912,688.7686195022497,0.0,1920.0,32,4.8,1,,136.03954802259886,134.0,80.0,212.0,24079.0,22.040861222532087,0.08511043799346123,0.9682232347032201
ID998506,998506,0,4.143598556518555,1074.6157032414844,689.5659161137687,0.0,120.0,2,4.8,1,,159.6045197740113,159.0,101.0,237.0,28250.0,26.474292460304863,0.13711661273422457,1.453904534211757
ID996522,996522,0,4.174955368041992,1100.371135990368,671.8408409489588,0.0,720.0,12,4.8,1,,165.56497175141243,167.0,109.0,219.0,29305.0,21.550878333827246,0.1346986813717799,1.823964049078608
ID999658,999658,0,2.8259878158569336,1098.3778331259239,675.3035284599893,0.0,1140.0,19,4.8,1,,143.96045197740114,144.0,88.0,188.0,25481.0,18.470911277761008,0.10457634687884809,1.4757833373024851
ID998889,998889,0,5.2396392822265625,1062.5455231839628,688.692417437836,0.0,180.0,3,4.8,1,,201.0225988700565,203.0,125.0,254.0,35581.0,27.307998079621107,0.1391641135325741,1.7985643370651117
ID1002404,1002404,0,3.11161470413208,1088.34684640973,681.0591220938057,0.0,1620.0,27,4.8,1,,149.4632768361582,150.0,86.0,201.0,26455.0,18.315730214551763,0.1234503058322675,1.7934057616398082
ID1002019,1002019,0,2.789588212966919,1090.677574794884,687.6586522583353,0.0,1680.0,28,4.8,1,,169.85875706214688,170.0,124.0,212.0,30065.0,18.225772980015282,0.08432512822850433,1.449537546434967
ID1003169,1003169,0,3.2982826232910156,1094.3816364236675,678.3453857456986,0.0,1380.0,23,4.8,1,,156.63276836158192,158.0,115.0,204.0,27724.0,17.715416043324634,0.12722654967829375,1.9958495647039567
ID999264,999264,0,3.4334769248962402,1099.6242622961108,674.1870349449625,0.0,1080.0,18,4.8,1,,149.76271186440678,150.0,78.0,206.0,26508.0,24.33759179586567,0.1111969227737247,1.2315663876672727
