LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID90241,90241,0,2.764815330505371,25.836598334407963,0.0,0.0,2160.0,36,4.8,1,,54.02824858757062,51.0,0.0,139.0,9563.0,29.52838183590397,0.3317395845421841,0.9115683218282754
ID92931,92931,0,2.629260540008545,25.836598334407963,0.0,0.0,2760.0,46,4.8,1,,52.03389830508475,49.0,0.0,129.0,9210.0,27.37552371958238,0.34266413908131216,0.9701864168921507
ID80261,80261,0,3.724487781524658,25.098409810567734,0.0,0.0,900.0,15,4.8,1,,60.6271186440678,56.0,0.0,167.0,10731.0,34.552117241280044,0.39618180150770904,0.9958061613530723
ID85899,85899,0,2.3121471405029297,25.836598334407963,0.0,0.0,1200.0,20,4.8,1,,61.440677966101696,57.0,0.0,156.0,10875.0,33.965358950387376,0.21313344777793614,0.6356130711229718
ID82575,82575,0,3.2435836791992188,24.36022128672751,0.0,0.0,180.0,3,4.8,1,,56.68926553672316,52.0,0.0,153.0,10034.0,32.619179174615674,0.35333351441521016,0.9074815284376011
ID91922,91922,0,2.6718547344207764,26.57478685824819,0.0,0.0,2400.0,40,4.8,1,,52.9774011299435,51.0,0.0,144.0,9377.0,29.642367330136963,0.3253079334169899,0.8773757315966682
ID89243,89243,0,1.4063935279846191,25.098409810567734,0.0,0.0,1920.0,32,4.8,1,,57.644067796610166,58.0,0.0,157.0,10203.0,32.52923303031955,0.1937153377542846,0.5751406002713614
ID97691,97691,0,2.2800204753875732,25.836598334407963,0.0,0.0,3060.0,51,4.8,1,,51.93785310734463,50.0,0.0,123.0,9193.0,27.176434935789665,0.281458381633545,0.8395202673222342
ID84890,84890,0,3.5776350498199463,25.098409810567734,0.0,0.0,1320.0,22,4.8,1,,59.47457627118644,53.0,0.0,169.0,10527.0,35.430159821280505,0.3639286205937847,0.8958036125203189
ID83229,83229,0,4.2482757568359375,24.36022128672751,0.0,0.0,60.0,1,4.8,1,,65.13559322033899,55.0,0.0,169.0,11529.0,39.82837797141116,0.40235096954686905,0.9384347509182647
ID78625,78625,0,3.948329448699951,25.098409810567734,0.0,0.0,360.0,6,4.8,1,,64.11864406779661,57.0,0.0,169.0,11349.0,37.13554016849017,0.3791958033105641,0.9494283049799778
ID86561,86561,0,2.564979076385498,25.098409810567734,0.0,0.0,1260.0,21,4.8,1,,57.09604519774011,54.0,0.0,141.0,10106.0,29.886277562510195,0.3020387749277298,0.8863453690695674
ID96673,96673,0,1.6584317684173584,25.836598334407963,0.0,0.0,3420.0,57,4.8,1,,45.96045197740113,46.0,0.0,113.0,8135.0,23.105332319893986,0.2502341307386044,0.7962643307908737
ID95648,95648,0,2.313415765762329,26.57478685824819,0.0,0.0,3480.0,58,4.8,1,,49.57627118644068,47.0,0.0,125.0,8775.0,26.30386468526223,0.31014757823326033,0.8923443304103209
ID88227,88227,0,2.868664026260376,25.836598334407963,0.0,0.0,1500.0,25,4.8,1,,54.3728813559322,49.0,0.0,153.0,9624.0,31.185787649339677,0.326351875796157,0.8579914965129319
ID90915,90915,0,2.8606059551239014,25.836598334407963,0.0,0.0,2520.0,42,4.8,1,,55.045197740113,49.0,0.0,130.0,9743.0,31.089829382159905,0.332129377750559,0.8828602814282759
ID94630,94630,0,2.8610479831695557,26.57478685824819,0.0,0.0,2880.0,48,4.8,1,,54.68361581920904,51.0,0.0,141.0,9679.0,29.92436322003017,0.3346011209003973,0.9163010998331447
ID93610,93610,0,2.804849624633789,25.836598334407963,0.0,0.0,2820.0,47,4.8,1,,53.9774011299435,50.0,0.0,130.0,9554.0,29.407202813229414,0.31885867556785585,0.8875405961218129
ID79278,79278,0,3.6291003227233887,25.098409810567734,0.0,0.0,300.0,5,4.8,1,,59.23728813559322,53.0,0.0,179.0,10485.0,35.54862498126406,0.3623745365969421,0.8864689172975047
ID83886,83886,0,2.9050862789154053,25.836598334407963,0.0,0.0,1080.0,18,4.8,1,,57.887005649717516,55.0,0.0,149.0,10246.0,32.769489353058205,0.29395973389801006,0.8026172522311459
ID89907,89907,0,2.358607769012451,25.836598334407963,0.0,0.0,2040.0,34,4.8,1,,55.0225988700565,51.0,0.0,141.0,9739.0,29.745120837912967,0.28375000114423077,0.8177315845689823
ID81586,81586,0,3.790501832962036,25.098409810567734,0.0,0.0,420.0,7,4.8,1,,61.186440677966104,55.0,0.0,166.0,10830.0,35.7005257996697,0.379081646865006,0.9422222450058763
ID92594,92594,0,2.785435199737549,26.57478685824819,0.0,0.0,2580.0,43,4.8,1,,53.78531073446328,51.0,0.0,130.0,9520.0,30.065443940895378,0.3234086693269091,0.8743468282376283
ID83894,83894,0,3.120030403137207,25.098409810567734,0.0,0.0,1020.0,17,4.8,1,,58.48587570621469,54.0,0.0,157.0,10352.0,32.06387576255064,0.3330149881559498,0.9113678905734768
ID85560,85560,0,3.1439907550811768,25.836598334407963,0.0,0.0,1620.0,27,4.8,1,,56.85310734463277,55.0,0.0,144.0,10063.0,31.807676745537997,0.34709176502086075,0.9210843037502603
ID87226,87226,0,2.802407741546631,25.836598334407963,0.0,0.0,1440.0,24,4.8,1,,54.016949152542374,52.0,0.0,134.0,9561.0,31.451888687375856,0.31829330356095575,0.8293326687449971
