LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2112544,2112544,0,12.053550720214844,69.26861805845232,21.286007507328392,0.0,60.0,1,4.8,1,,135.7683615819209,100.0,33.0,255.0,24031.0,80.86294180253043,0.507239988597037,1.130082402035332
ID2121892,2121892,0,11.432015419006348,69.36879358844787,21.086330585273654,0.0,2340.0,39,4.8,1,,126.50847457627118,87.0,28.0,255.0,22392.0,81.00947746490614,0.4908591222907954,1.028333640451584
ID2115496,2115496,0,11.780373573303223,69.28859444720591,21.18191704306013,0.0,600.0,10,4.8,1,,134.10169491525423,98.0,38.0,255.0,23736.0,79.63190063902572,0.4944596954182441,1.1143557830119124
ID2118697,2118697,0,11.475173950195312,69.33764658802659,21.082078895547994,0.0,1680.0,28,4.8,1,,128.63841807909606,90.0,32.0,255.0,22769.0,79.16305306271721,0.49372904470864587,1.0742243730125802
ID2120748,2120748,0,11.340970993041992,69.34044808332516,21.15157481628017,0.0,2100.0,35,4.8,1,,127.94350282485875,95.0,36.0,255.0,22646.0,78.10545882986759,0.4839287737632767,1.0684033319138222
ID2117549,2117549,0,11.509204864501953,69.34333412760245,21.187359320427714,0.0,1260.0,21,4.8,1,,130.31073446327684,96.0,44.0,255.0,23065.0,77.44902684421922,0.4868810733750669,1.101896699457874
ID2123951,2123951,0,11.149637222290039,69.30191972890354,20.992321317099012,0.0,3180.0,53,4.8,1,,125.02824858757062,87.0,34.0,255.0,22130.0,76.60631570943886,0.49322122490979325,1.0781797486577658
ID2113457,2113457,0,11.871753692626953,69.26856299638976,21.28262433204797,0.0,240.0,4,4.8,1,,133.3728813559322,101.0,34.0,255.0,23607.0,80.10303697818134,0.5026150054280369,1.1138745367680292
ID2122805,2122805,0,11.34404182434082,69.41483396401638,21.11422133046483,0.0,2700.0,45,4.8,1,,126.84745762711864,89.0,33.0,255.0,22452.0,77.74012950193024,0.4968048507564608,1.0831463704534914
ID2119606,2119606,0,11.377659797668457,69.3556266656366,21.104414181867487,0.0,2040.0,34,4.8,1,,127.32768361581921,91.0,31.0,255.0,22537.0,79.27222209054102,0.48060309430739423,1.0427488314221973
ID2114361,2114361,0,11.922325134277344,69.35012206883164,21.20536565294038,0.0,180.0,3,4.8,1,,134.71751412429379,100.0,36.0,255.0,23845.0,80.66935445589458,0.4998129427049949,1.1130530793158229
ID2116409,2116409,0,11.369970321655273,69.3426043239299,21.093908442793975,0.0,1080.0,18,4.8,1,,128.36723163841808,86.0,34.0,255.0,22721.0,78.96349595136232,0.4879434623832934,1.0662053990662965
ID2124861,2124861,0,11.272348403930664,69.36563828163582,20.9520005930624,0.0,3480.0,58,4.8,1,,126.51977401129943,85.0,32.0,255.0,22394.0,78.87152170658479,0.48758594395286015,1.05156783713806
ID2112318,2112318,0,11.855499267578125,69.43159518977566,21.018669194481625,0.0,480.0,8,4.8,1,,135.4858757062147,100.0,40.0,255.0,23981.0,79.68047748697698,0.5002108084683966,1.1338950829819934
ID2120064,2120064,0,11.483539581298828,69.37396372247711,21.137112180721083,0.0,2160.0,36,4.8,1,,127.64406779661017,94.0,31.0,255.0,22593.0,79.27743919411874,0.49062811202143164,1.0598981639064868
ID2116866,2116866,0,11.474796295166016,69.38952713489412,21.094088949024094,0.0,1380.0,23,4.8,1,,129.76271186440678,97.0,41.0,255.0,22968.0,77.68884740286614,0.49169427274428845,1.101124834922679
ID2125315,2125315,0,11.209073066711426,69.40521947022638,21.020892610348646,0.0,3360.0,56,4.8,1,,124.49152542372882,87.0,36.0,255.0,22035.0,79.51201443264493,0.4878777939265998,1.0267880768616566
ID2112773,2112773,0,11.59605884552002,69.25967309533013,21.14292942083042,0.0,300.0,5,4.8,1,,133.67796610169492,103.0,42.0,255.0,23661.0,77.40003244904025,0.4934563450605186,1.141313324152392
ID2115719,2115719,0,11.728832244873047,69.31119915415378,21.091856991417366,0.0,960.0,16,4.8,1,,130.38983050847457,88.0,35.0,255.0,23079.0,81.66513184725906,0.497231696183302,1.0604906442596906
ID2122122,2122122,0,11.288131713867188,69.3694137337606,21.056658357943917,0.0,2820.0,47,4.8,1,,126.89830508474576,90.0,41.0,255.0,22461.0,78.24321672209055,0.4857983908977401,1.06056015964705
ID2118924,2118924,0,11.332650184631348,69.39669351667297,21.14405135170095,0.0,1800.0,30,4.8,1,,127.35028248587571,91.0,38.0,255.0,22541.0,77.46635202423354,0.4882214517007193,1.0786141185305278
ID2113680,2113680,0,12.092692375183105,69.26991384326988,21.301559797800127,0.0,0.0,0,4.8,1,,136.66666666666666,93.0,17.0,255.0,24190.0,81.76467526512972,0.5158867706528018,1.1376652941102552
ID2117778,2117778,0,11.54465103149414,69.33463197461896,21.11842397753497,0.0,1500.0,25,4.8,1,,128.8361581920904,92.0,29.0,255.0,22804.0,79.80823068554182,0.4951124381670329,1.0691781162754725
ID2124178,2124178,0,11.180994033813477,69.36407563346621,21.045200655790477,0.0,3240.0,54,4.8,1,,125.12994350282486,89.0,30.0,255.0,22148.0,78.82402766243685,0.4785567656478033,1.0276094266595754
ID2120980,2120980,0,11.244359016418457,69.37039283110255,21.073094084113173,0.0,2280.0,38,4.8,1,,125.07344632768361,82.0,27.0,255.0,22138.0,79.66043150595178,0.48408789523631945,1.024276144611653
