LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID351749,351749,0,8.302895545959473,940.8968053379989,86.69611670479146,0.0,540.0,9,4.8,1,,215.57062146892656,219.0,153.0,255.0,38156.0,31.504993041475196,0.2516961054671082,2.75180576471783
ID355716,355716,0,8.16813850402832,643.3561862175744,248.28393983862136,0.0,2640.0,44,4.8,1,,195.6497175141243,195.0,125.0,255.0,34630.0,39.15211320822604,0.24327405073800326,1.9556130667476719
ID354054,354054,0,8.420958518981934,700.0362630648855,193.2898851606266,0.0,1800.0,30,4.8,1,,202.45197740112994,203.0,128.0,255.0,35834.0,36.71557152068309,0.2551174577144566,2.241596985404512
ID357761,357761,0,8.194397926330566,643.271695119327,248.30642905790597,0.0,3060.0,51,4.8,1,,193.70621468926555,190.0,122.0,255.0,34286.0,40.86860341691531,0.2399761758646138,1.8345879661639293
ID351618,351618,0,7.933089256286621,1001.6328844118268,122.4084297169035,0.0,300.0,5,4.8,1,,216.63276836158192,221.0,141.0,255.0,38344.0,31.63275865512738,0.2364675261159094,2.619424411155585
ID353922,353922,0,8.531540870666504,755.8291556252007,198.38733092501315,0.0,1560.0,26,4.8,1,,203.7909604519774,204.0,129.0,255.0,36071.0,37.12687595021013,0.25986186261355004,2.2643633776916094
ID351884,351884,0,7.125799655914307,852.1885840652321,132.22647658976504,0.0,900.0,15,4.8,1,,219.91525423728814,229.0,154.0,255.0,38925.0,30.338968417243443,0.19849066124710207,2.4009878640642106
ID354186,354186,0,8.5178861618042,682.0542272072734,200.13108319672824,0.0,1860.0,31,4.8,1,,201.5819209039548,203.0,124.0,255.0,35680.0,38.24881624333537,0.2557050479371278,2.1464226261371846
ID354453,354453,0,8.317193031311035,717.2013327274018,192.62828882755653,0.0,1740.0,29,4.8,1,,200.8361581920904,205.0,125.0,255.0,35548.0,38.94505516134605,0.25070935424025614,2.0674438234603105
ID355861,355861,0,6.980018138885498,643.425745812261,247.8089283400322,0.0,2760.0,46,4.8,1,,211.49717514124293,222.0,135.0,255.0,37435.0,38.00480297005911,0.18778646575554353,1.7596325919316753
ID352019,352019,0,6.750417232513428,858.5152790142312,116.18728253154765,0.0,840.0,14,4.8,1,,219.71186440677965,229.0,134.0,255.0,38889.0,31.991503229617106,0.18323066899776527,2.1270495502046542
ID354323,354323,0,7.161190986633301,740.5468911140767,201.06440498650025,0.0,1620.0,27,4.8,1,,206.99435028248587,213.0,134.0,255.0,36638.0,36.95751510105606,0.19483995980565938,1.8266444317693238
ID357010,357010,0,8.378019332885742,643.3874048067113,248.19417176274163,0.0,2880.0,48,4.8,1,,196.16949152542372,194.0,131.0,255.0,34722.0,39.39189141687761,0.2523657026436482,2.007029680104509
ID357906,357906,0,8.307188987731934,643.4337062014382,248.18756590629224,0.0,3180.0,53,4.8,1,,194.94915254237287,193.0,127.0,255.0,34506.0,39.99776573112902,0.24797932451803983,1.9369735806277735
ID354589,354589,0,7.715597152709961,727.3237836460995,206.00158043904173,0.0,1680.0,28,4.8,1,,201.29943502824858,203.0,129.0,255.0,35630.0,38.614435149976245,0.22176755669348935,1.8924843137598326
ID354719,354719,0,8.200840950012207,688.3095631767633,213.43063536462012,0.0,1920.0,32,4.8,1,,204.54802259887006,207.0,132.0,254.0,36205.0,36.02601977989388,0.24618211040555082,2.243282538874647
ID357156,357156,0,8.354717254638672,643.4340037716352,248.17287102697154,0.0,2940.0,49,4.8,1,,195.954802259887,194.0,128.0,255.0,34684.0,39.977666948537376,0.250253705705387,1.9622341419175229
ID352166,352166,0,7.864233016967773,1086.1774445339067,118.29752948420561,0.0,0.0,0,4.8,1,,222.5593220338983,227.0,167.0,255.0,39393.0,27.423408539081844,0.23315300642609577,3.0688693913084606
ID356000,356000,0,8.648857116699219,685.181522443902,242.37078697959765,0.0,2340.0,39,4.8,1,,216.36158192090394,222.0,133.0,255.0,38296.0,33.48734994851365,0.2653905734250779,2.710130857740526
ID352297,352297,0,8.144852638244629,920.6344732279265,90.53236475914068,0.0,600.0,10,4.8,1,,218.11864406779662,223.0,157.0,255.0,38607.0,30.870744873748862,0.24362654615626467,2.7682818213513514
ID350505,350505,0,8.258234977722168,883.8925307580935,89.95996003291555,0.0,720.0,12,4.8,1,,215.70621468926555,221.0,150.0,255.0,38180.0,32.147981977864504,0.252301832822106,2.703649109211904
ID358057,358057,0,8.32850170135498,643.3332351562555,248.34350598353765,0.0,3300.0,55,4.8,1,,197.68926553672316,199.0,132.0,255.0,34991.0,39.395713138132734,0.24911380593546123,2.0015198683492486
ID350379,350379,0,8.242815017700195,1070.1291853396287,126.96640138671864,0.0,60.0,1,4.8,1,,221.45762711864407,228.0,153.0,255.0,39198.0,30.087177520592114,0.2475941398896076,2.9215022475309884
ID355243,355243,0,8.747467994689941,716.611288015413,257.3226072997776,0.0,2220.0,37,4.8,1,,219.14689265536722,226.0,150.0,255.0,38789.0,31.80285335888622,0.271009824835023,2.9385653535903518
ID356144,356144,0,7.650018692016602,643.5238031033275,248.13120853110877,0.0,2520.0,42,4.8,1,,195.98305084745763,195.0,119.0,255.0,34689.0,40.765888505458165,0.2166765900477723,1.7123338326692104
